edge,r2,x,f_kan,f_cubic
1,0.998,0.5221,-0.04511,-0.04609
1,0.998,0.5331,-0.04427,-0.04519
1,0.998,0.5441,-0.04337,-0.04421
1,0.998,0.555,-0.04242,-0.04316
1,0.998,0.566,-0.04143,-0.04202
1,0.998,0.577,-0.04038,-0.04081
1,0.998,0.5879,-0.0393,-0.03951
1,0.998,0.5989,-0.03816,-0.03812
1,0.998,0.6099,-0.03698,-0.03665
1,0.998,0.6208,-0.03576,-0.03509
1,0.998,0.6318,-0.0345,-0.03344
1,0.998,0.6428,-0.0332,-0.0317
1,0.998,0.6537,-0.03187,-0.02987
2,0.9427,-0.6512,-0.02532,-0.02964
2,0.9427,-0.6402,-0.02536,-0.0289
2,0.9427,-0.6293,-0.02536,-0.02819
2,0.9427,-0.6183,-0.02534,-0.02751
2,0.9427,-0.6073,-0.0253,-0.02687
2,0.9427,-0.5964,-0.02523,-0.02626
2,0.9427,-0.5854,-0.02515,-0.02568
2,0.9427,-0.5744,-0.02504,-0.02513
2,0.9427,-0.5635,-0.02491,-0.02461
2,0.9427,-0.5525,-0.02477,-0.02412
2,0.9427,-0.5416,-0.02461,-0.02366
2,0.9427,-0.5306,-0.02443,-0.02322
2,0.9427,-0.5196,-0.02424,-0.02281
2,0.9427,-0.5087,-0.02405,-0.02243
2,0.9427,-0.4977,-0.02384,-0.02208
2,0.9427,-0.4867,-0.02362,-0.02175
2,0.9427,-0.4758,-0.0234,-0.02144
2,0.9427,-0.4648,-0.02317,-0.02116
2,0.9427,-0.4538,-0.02294,-0.0209
2,0.9427,-0.4429,-0.0227,-0.02067
2,0.9427,-0.4319,-0.02247,-0.02046
2,0.9427,-0.4209,-0.02223,-0.02027
2,0.9427,-0.41,-0.022,-0.02009
2,0.9427,-0.399,-0.02176,-0.01994
2,0.9427,-0.388,-0.02154,-0.01981
2,0.9427,-0.3771,-0.02131,-0.0197
2,0.9427,-0.3661,-0.0211,-0.01961
2,0.9427,-0.3551,-0.02089,-0.01953
2,0.9427,-0.3442,-0.02069,-0.01947
2,0.9427,-0.3332,-0.02049,-0.01943
2,0.9427,-0.3222,-0.02031,-0.0194
2,0.9427,-0.3113,-0.02014,-0.01939
2,0.9427,-0.3003,-0.01998,-0.01939
2,0.9427,-0.2893,-0.01984,-0.0194
2,0.9427,-0.2784,-0.0197,-0.01943
2,0.9427,-0.2674,-0.01958,-0.01947
2,0.9427,-0.2564,-0.01948,-0.01953
2,0.9427,-0.2455,-0.01939,-0.01959
